Meet,VPF ID,Full Name,Gender,Weight Class,Age Class,platform,session,flight,bodyWeight,Squat 1,Squat 2,Squat 3,Bench 1,Bench 2,Bench 3,Deadlift 1,Deadlift 2,Deadlift 3,Team,Team Points,Competition Year,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000056,Nguyễn Tiến Phát,Male,83,Sub-Junior,1,4,G,82,"160,00","-170,00","170,00","75,00","80,00","85,00","190,00","200,00","210,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000030,Nguyễn Đức Anh,Male,83,Sub-Junior,1,4,G,"77,35","137,50","147,50","155,00","90,00","95,00","-100,00","-170,00","180,00","187,50",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000072,Trần Nguyên Bảo,Male,83,Sub-Junior,1,4,G,"81,8","145,00","157,50","-162,50","75,00","82,50","-85,00","185,00","195,00","-197,50",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000003,Lại Minh Tuấn,Male,83,Sub-Junior,1,4,G,"80,4","140,00","-150,00","160,00","67,50","72,50","77,50","170,00","180,00","190,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000010,Lê Đức Cường,Male,93,Open,1,3,F,90,"215,00","225,00","-230,00","142,50","152,50","157,50","230,00","242,50","252,50",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000013,Trần Bá Nhân,Male,93,Open,1,3,F,"85,05","200,00","212,50","222,50","127,50","135,00","142,50","242,50","255,00","-267,50",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000002,Hoàng Vũ Hải Linh,Male,93,Open,1,3,F,"88,5","197,50","210,00","217,50","107,50","115,00","120,00","255,00","270,00","-290,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000009,Nguyễn Tài Đức,Male,93,Open,1,3,F,"91,95","210,00","-220,00","220,00","122,50","-130,00","-130,00","220,00","-230,00","230,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000006,Lương Hoàng An,Male,93,Open,1,3,F,"87,65","187,50","200,00","210,00","-120,00","130,00","140,00","200,00","210,00","220,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000091,Nam Kwang Su,Male,93,Open,1,3,F,"89,8","-140,00","140,00","160,00","100,00","-110,00","-110,00","-180,00","190,00","210,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000044,Từ Thiệu Hào,Male,93,Open,1,3,F,"87,85","125,00","135,00","150,00","80,00","90,00","-95,00","130,00","150,00","-160,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000085,Trần Như Thưởng,Male,93,Junior,1,3,F,"83,7","165,00","-177,50","-177,50","125,00","132,50","-140,00","220,00","-235,00","-235,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000031,Mai Tuấn Trung,Male,93,Junior,1,3,F,"92,4","147,50","157,50","162,50","80,00","85,00","90,00","-200,00","210,00","220,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000089,Nguyễn Quang Thái,Male,93,Junior,1,3,F,87,"165,00","170,00","-172,50","-85,00","90,00","-95,00","160,00","172,50","185,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000005,Trần Phương Nam,Male,93,Junior,1,3,F,"88,75","150,00","170,00","-180,00","80,00","92,50","100,00","160,00","165,00","175,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000041,Phạm Minh Hiếu,Male,93,Junior,1,3,F,"83,95","120,00","132,50","145,00","75,00","85,00","-92,50","-180,00","190,00","205,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000008,Vũ Gia Bách,Male,105,Open,1,2,D,"98,5","155,00","167,50","177,50","110,00","117,50","125,00","185,00","200,00","215,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000037,Phùng Duy Hà,Male,105,Junior,1,2,D,"95,75","170,00","182,50","-195,00","100,00","115,00","-125,00","-200,00","215,00","225,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000054,Tô Hồng Nhân,Male,105,Junior,1,2,D,"100,1","-145,00","-155,00","155,00","85,00","-95,00","-100,00","180,00","190,00","205,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000033,Trần Quang Minh,Male,120,Junior,1,2,D,106,"170,00","180,00","190,00","100,00","110,00","-112,50","210,00","220,00","-230,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000074,Vũ Tuấn Mạnh,Male,120+,Sub-Junior,1,2,D,"134,5","200,00","210,00","-220,00","100,00","110,00","-120,00","190,00","-210,00","210,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000064,Đinh Thị Hoa,Female,47,Open,1,3,E,"46,5","100,00","107,50","112,50","47,50","52,50","55,00","117,50","127,50","-135,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000057,Phạm Thị Quỳnh Trang,Female,47,Open,1,3,E,"45,4","75,00","-80,00","80,00","25,00","30,00","-35,00","90,00","95,00","100,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000094,Suparat Sirichantaropas,Female,47,Open,1,3,E,"46,9","65,00","70,00","-75,00","30,00","32,50","-35,00","95,00","102,50","107,50",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000039,Trần Kiều Hạnh,Female,47,Open,1,3,E,"46,9","65,00","75,00","-85,00","27,50","30,00","-32,50","70,00","75,00","82,50",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000069,Đinh Thị Mai Anh,Female,52,Open,1,3,E,"51,1","85,00","95,00","100,00","30,00","40,00","42,50","115,00","125,00","135,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000067,Nguyễn Thị Yến Nhi,Female,52,Open,1,3,E,"51,5","75,00","-80,00","-80,00","30,00","-37,50","-37,50","90,00","100,00","110,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000093,Trần Thị Uyển My,Female,63,Open,1,3,E,"61,3","90,00","97,50","105,00","45,00","50,00","-52,50","115,00","122,50","130,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000078,Đỗ Nam Trà,Female,63,Junior,1,3,E,"62,15","-85,00","85,00","87,50","37,50","-40,00","-40,00","115,00","125,00","130,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000022,Nguyễn Thuỳ My,Female,63,Junior,1,3,E,"61,75","90,00","-100,00","105,00","35,00","-42,50","-42,50","90,00","100,00","-107,50",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000075,Nguyễn Ngân Giang,Female,63,Sub-Junior,1,3,E,"61,8","-115,00","115,00","-125,00","-40,00","45,00","52,50","155,00","162,50","-170,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000035,Nguyễn Thị Diễm Quỳnh,Female,69,Junior,1,3,E,"64,75","90,00","110,00","120,00","45,00","55,00","-60,00","100,00","127,50","-137,50",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000081,Nguyễn Thu Hương,Female,76,Open,1,3,E,"74,2","80,00","90,00","-97,50","30,00","37,50","-40,00","87,50","95,00","-102,50",,,2023,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000179,Lê Mạnh Tú,Male,59,Open,1,1,B,"58,65","145,00","-160,00","-160,00","105,00","110,00","112,50","-185,00","185,00","190,00",,,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000119,Bùi Thanh Hoà,Male,59,Open,1,1,B,"58,5","135,00","142,50","-150,00","85,00","90,00","92,50","190,00","-200,00","207,50",,,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000073,Phan Kế Hoàng,Male,59,Open,1,1,B,"58,95","135,00","-142,50","147,50","97,50","-105,00","105,00","170,00","185,00","-192,50",INFINITY,3,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000124,Phạm Ngọc Huy,Male,59,Open,1,1,B,"58,6","-112,50","122,50","132,50","80,00","87,50","-92,50","150,00","157,50","165,00",,,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000147,Trần Trung Kiên,Male,59,Open,1,1,B,"58,8","120,00","135,00","142,50","-95,00","-95,00","-100,00","160,00","170,00","-175,00",,,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000103,Ngô Quang Minh,Male,59,Junior,1,1,B,"57,7","165,00","175,00","185,00","95,00","105,00","0,00","205,00","220,00","230,00",18Powerlifting,4,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000108,Nguyễn Huy Hưng,Male,59,Junior,1,1,B,"57,85","130,00","140,00","150,00","95,00","105,00","110,00","180,00","195,00","205,00",,,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000127,Nguyễn Danh Quyết,Male,59,Junior,1,1,B,"57,35","122,50","-132,50","132,50","82,50","90,00","97,50","155,00","165,00","172,50",,,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000175,Trần Minh Nhí,Male,66,Open,1,3,F,"65,55","210,00","220,00","225,00","115,00","125,00","-130,00","-240,00","245,00","-265,00",INFINITY,7,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000100,Nguyễn Đức Tài,Male,66,Open,1,3,F,"65,35","197,50","207,50","-212,50","125,00","130,00","-135,00","215,00","225,00","-232,50",18Powerlifting,5,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000109,Ngô Văn Hòa,Male,66,Open,1,3,F,"64,6","172,50","185,00","-190,00","132,50","-142,50","-142,50","217,50","230,00","-245,00",Sắc Màu,4,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000134,Tăng Đức Bình,Male,66,Open,1,3,F,"64,85","180,00","190,00","195,00","110,00","115,00","-122,50","210,00","-225,00","-225,00",,,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000131,Hoàng Ngọc Quyến,Male,66,Open,1,3,F,"64,78","130,00","-142,50","-150,00","107,50","115,00","-117,50","190,00","200,00","-210,00",,,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000176,Nguyễn Duy Hưng,Male,66,Open,1,3,F,"65,85","190,00","-197,50","-197,50","-117,50","-117,50","-117,50","-190,00","-195,00","-195,00",,,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000155,Vũ Duy Đăng,Male,66,Junior,1,3,F,"64,45","170,00","-185,00","-185,00","110,00","117,50","0,00","215,00","-230,00","-240,00",INFINITY,7,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000019,Nguyễn Hữu Thắng,Male,66,Junior,1,3,F,"65,55","-170,00","170,00","180,00","110,00","-115,00","-115,00","190,00","205,00","-215,00",,,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000076,Hoàng Quốc Hưng,Male,66,Junior,1,3,F,"65,35","-135,00","150,00","-160,00","85,00","-90,00","-90,00","-195,00","200,00","207,50",,,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000181,Trần Văn Thái,Male,66,Junior,1,3,F,"65,05","135,00","145,00","-150,00","70,00","-75,00","75,00","170,00","-182,50","190,00",,,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000145,Nguyễn Đức Vũ,Male,66,Junior,1,3,F,"65,15","-120,00","120,00","130,00","80,00","-85,00","85,00","130,00","140,00","150,00",,,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000186,Đặng Văn Tài,Male,66,Junior,1,3,F,"65,6","-167,50","167,50","175,00","100,00","107,50","0,00","-185,00","-185,00","0,00",,,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000113,Nguyễn Hữu Việt,Male,66,Sub-Junior,1,3,F,"65,9","-140,00","-140,00","-140,00","-85,00","-87,50","-87,50","-135,00","145,00","162,50",,,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000114,Trần Kiến Phát,Male,74,Open,1,2,E,"73,65","-202,50","205,00","210,00","125,00","127,50","-130,00","260,00","272,50","-280,00",,,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000177,Trần Đức Hùng,Male,74,Open,1,2,E,"72,95","210,00","-217,50","217,50","100,00","-105,00","0,00","240,00","250,00","257,50",,,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000098,Trần Văn Tú,Male,74,Open,1,2,E,"73,25","175,00","185,00","-192,50","135,00","145,00","0,00","245,00","-257,50","-265,00",White Powerlifting,6,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000144,Nguyễn Trần Duy Đạt,Male,74,Open,1,2,E,"73,15","185,00","195,00","-200,00","125,00","132,50","-137,50","207,50","215,00","-225,00",,,2023,,,,,,,,,,,,,,,,,
VPF National Qualifier 2023 - Hanoi,VPF000140,Phạm Công Vượng,Male,74,Open,1,2,E,"73,5","152,50","162,50","170,00","107,50","-115,00","117,50","217,50","230,00","240,00",REDOMINANT,4,2023,,,,,,,,,,,,,,,,,
